"","ecoregion_name","code","biome","long","lat","sec_type","value","pri_type"
"58","Sierra de los Tuxtlas","NT0161","Tropical Moist Forest",-95.125,18.25,"bird_num",436,"Species Data"
"59","Sierra Madre de Chiapas moist forest","NT0162","Tropical Moist Forest",-91.721,14.897,"bird_num",315,"Species Data"
"60","Solimoes-Japura moist forest","NT0163","Tropical Moist Forest",-70.875,-2.229,"bird_num",542,"Species Data"
"61","South Florida rocklands","NT0164","Tropical Moist Forest",-80.75,25.417,"bird_num",176,"Species Data"
"62","Southern Andean Yungas","NT0165","Tropical Moist Forest",-64.807,-23.557,"bird_num",463,"Species Data"
"63","Southwest Amazon moist forests","NT0166","Tropical Moist Forest",-69.77,-10.023,"bird_num",782,"Species Data"
"64","Talamancan montane forests","NT0167","Tropical Moist Forest",-82.88,9.293,"bird_num",450,"Species Data"
"65","Tapajos-Xingu moist forests","NT0168","Tropical Moist Forest",-54.444,-5.968,"bird_num",556,"Species Data"
"66","Pantepuis","NT0169","Tropical Moist Forest",-64.172,4.638,"bird_num",628,"Species Data"
"67","Tocantins/Pindare moist forests","NT0170","Tropical Moist Forest",-47.375,-3.077,"bird_num",517,"Species Data"
"68","Trinidad and Tobago moist forests","NT0171","Tropical Moist Forest",-61.375,10.375,"bird_num",308,"Species Data"
"69","Uatuma-Trombetas moist forests","NT0173","Tropical Moist Forest",-56.78,-0.333,"bird_num",482,"Species Data"
"70","Ucayali moist forests","NT0174","Tropical Moist Forest",-76.047,-7.326,"bird_num",603,"Species Data"
"71","Venezuelan Andes montane forests","NT0175","Tropical Moist Forest",-70.663,8.946,"bird_num",473,"Species Data"
"72","Veracruz moist forests","NT0176","Tropical Moist Forest",-98.293,21.946,"bird_num",341,"Species Data"
"73","Veracruz montane forests","NT0177","Tropical Moist Forest",-98.25,20.5,"bird_num",328,"Species Data"
"74","Western Ecuador moist forests","NT0178","Tropical Moist Forest",-79.5,-0.712,"bird_num",490,"Species Data"
"75","Windward Islands moist forests","NT0179","Tropical Moist Forest",-61.25,10.75,"bird_num",158,"Species Data"
"76","Xingu-Tocantins-Araguaia moist forests","NT0180","Tropical Moist Forest",-50.728,-6.112,"bird_num",527,"Species Data"
"77","Yucatan moist forests","NT0181","Tropical Moist Forest",-88.789,19.221,"bird_num",359,"Species Data"
"78","Guianan piedmont and lowland moist forests","NT0182","Tropical Moist Forest",-64.043,4.11,"bird_num",0,"Species Data"
"79","Apure-Villavicencio dry forests","NT0201","Tropical Deciduous Forest",-71.617,6.317,"bird_num",474,"Species Data"
"80","Atlantic dry forests","NT0202","Tropical Deciduous Forest",-43.346,-12.183,"bird_num",311,"Species Data"
"81","Bajio dry forests","NT0204","Tropical Deciduous Forest",-102.15,20.4,"bird_num",278,"Species Data"
"82","Balsas dry forests","NT0205","Tropical Deciduous Forest",-99.888,18.358,"bird_num",264,"Species Data"
"83","Bolivian montane dry forests","NT0206","Tropical Deciduous Forest",-65.818,-18.592,"bird_num",222,"Species Data"
"84","Cauca Valley dry forests","NT0207","Tropical Deciduous Forest",-75.95,5.083,"bird_num",311,"Species Data"
"85","Central American dry forests","NT0209","Tropical Deciduous Forest",-87.576,13.679,"bird_num",330,"Species Data"
"86","Dry Chaco","NT0210","Tropical Deciduous Forest",-62.842,-25.198,"bird_num",572,"Species Data"
"87","Chiapas Depression dry forests","NT0211","Tropical Deciduous Forest",-92.906,16.344,"bird_num",188,"Species Data"
"88","Chiquitano dry forests","NT0212","Tropical Deciduous Forest",-60.363,-15.894,"bird_num",457,"Species Data"
"89","Cuban dry forests","NT0213","Tropical Deciduous Forest",-79.347,21.504,"bird_num",246,"Species Data"
"90","Ecuadorian dry forests","NT0214","Tropical Deciduous Forest",-80.021,-1.625,"bird_num",338,"Species Data"
"91","Hispaniolan dry forests","NT0215","Tropical Deciduous Forest",-72.107,18.875,"bird_num",214,"Species Data"
"92","Jalisco dry forests","NT0217","Tropical Deciduous Forest",-104.426,20.118,"bird_num",326,"Species Data"
"93","Jamaican dry forests","NT0218","Tropical Deciduous Forest",-77.35,18.25,"bird_num",200,"Species Data"
"94","Lara-Falcon dry forests","NT0219","Tropical Deciduous Forest",-69.25,10.795,"bird_num",334,"Species Data"
