"","code","mad_prec","mad_temp","max_prec","max_temp","max3m_prec","max3m_temp","med_temp","min_prec","min_temp","min3m_prec","min3m_temp","tot_prec","areakm2","long","lat","elev","rain_south","rain_west","temp_south","temp_west","patch_num","mad_elev","ecoregion_name","biome","bird_num","mammal_num","reptile_num","amphibian_num","total_num"
"23","NT0126",144.664695,0.51891,334.55,28,949.65,27.83333333,26.675,45.4,26.25,155.8,26.33333333,2044.95,9881,-53.987,-2.066,50.68,198.1,118.23,26.97,27.12,6,20.7564,"Gurupa varzea","Tropical Moist Forest",558,174,27,32,791
"24","NT0127",76.05738,1.77912,235,26.5,576.9,26.4,25.1,53.1,23,176.4,23.23333333,1600.4,45814,-71.44,18.833,311.48,113.55,64.08,26.04,22.88,7,226.0965,"Hispaniolan moist forests","Tropical Moist Forest",217,20,117,47,401
"25","NT0128",52.372845,0.44478,256.7,27.1,735.95,26.96666667,26.65,102.55,25.4,355.25,25.7,2256.25,114506,-74.151,-5.295,184.06,232.18,144.3,26.26,25.41,73,48.9258,"Iquitos varzea","Tropical Moist Forest",624,255,164,131,1174
"26","NT0129",121.05429,0.7413,413.7,27.4,1116.9,26.96666667,25.75,62.3,24.9,240,25.03333333,2837.3,58359,-82.24,9.934,368.57,331.6,157.45,24.97,24.05,4,104.5233,"Isthmian-Atlantic moist forests","Tropical Moist Forest",518,217,168,118,1021
"27","NT0130",145.36893,0.59304,423.6,26.5,1036.2,26.26666667,25.3,31.6,24.6,130.6,24.7,2467.4,29176,-81.962,8.558,458.31,265.47,68.8,24.64,23.9,2,243.1464,"Isthmian-Pacific moist forests","Tropical Moist Forest",407,190,143,99,839
"28","NT0131",88.956,1.33434,302.2,25.95,737.55,25.7,24.525,68.55,22.9,233.25,23.2,1945.55,8270,-77.25,18.25,327.67,155.65,137.56,25.51,22.83,1,295.0374,"Jamaican moist forests","Tropical Moist Forest",207,21,33,20,281
"29","NT0132",66.34635,0.37065,321.5,27,878.4,26.9,26.55,149.3,25.7,469.4,25.8,2555.8,268444,-65.619,-0.847,73.11,260.17,186.43,26.28,26.24,3,29.652,"Japura-Solimoes-Negro moist forests","Tropical Moist Forest",506,189,77,99,871
"30","NT0133",104.74569,0.37065,303.75,26.6,868.7,26.55,26.15,79.7,25.3,283.5,25.46666667,2453.75,241493,-66.861,-5.569,69.91,268.44,96.48,26.54,25.89,6,19.2738,"Jurua-Purus moist forests","Tropical Moist Forest",554,189,38,68,849
"31","NT0134",79.46736,1.33434,297.8,25.4,848.5,25.3,24.4,108.4,22.5,388.3,22.66666667,2574.1,986,-65.75,18.25,77,196.11,123.71,26.89,23.73,4,192.738,"Leeward Islands moist forests","Tropical Moist Forest",134,12,43,11,200
"32","NT0135",152.48541,0.59304,329.3,27.4,948.7,27.03333333,26.25,18.25,24.9,87.45,25.33333333,2197.05,716682,-60.267,-9.132,190.93,280.68,38.78,26.17,25.19,2,83.0256,"Madeira-Tapajos moist forests","Tropical Moist Forest",621,251,71,55,998
"33","NT0136",73.75935,0.29652,273.35,20.05,682.95,19.88333333,19.55,69.1,19.2,259.5,19.28333333,1982.4,104598,-74.516,5.554,1462.38,152.06,99.82,20.3,20.14,1,1079.3328,"Magdalena Valley montane forests","Tropical Moist Forest",500,230,80,107,917
"34","NT0137",95.55357,0.37065,334.5,28.4,865.4,28.23333333,27.6,32.55,27,131.25,27.16666667,2244.55,76440,-74.782,7.995,370.17,213.83,68,26.26,25.98,1,71.1648,"Magdalena-Uraba moist forests","Tropical Moist Forest",517,197,122,48,884
"35","NT0138",184.95435,0.66717,406.2,27.8,1149.1,27.63333333,26.8,44.6,26.2,161.6,26.36666667,2548,88305,-50.676,-0.314,19.35,252.73,203.62,26.74,26.88,19,0,"Marajo varzea","Tropical Moist Forest",540,184,86,53,863
"36","NT0139",98.778225,0.66717,332.2,28.2,870.25,28.1,26.8,12.65,26.2,47.7,26.36666667,1540.9,141635,-43.592,-4.346,138.4,195.3,33.31,26.97,26.48,2,68.1996,"Maranhao Babatu forests","Tropical Moist Forest",268,133,112,26,539
"37","NT0140",186.65934,0.51891,344.9,26.9,965.5,26.3,25.5,3.6,24.2,34.6,24.5,2053.2,412314,-52.366,-9.516,291.75,295.01,16.58,25.65,25.32,39,68.1996,"Mato Grosso seasonal forests","Tropical Moist Forest",476,174,38,52,740
"38","NT0141",128.91207,0.37065,316,27.4,908.9,27.33333333,26.7,60,26.2,217.6,26.36666667,2251.6,66506,-60.162,-4.447,50.82,258.22,86.28,26.75,26.51,24,17.7912,"Monte Alegre varzea","Tropical Moist Forest",681,221,38,61,1001
"39","NT0142",51.07557,0.59304,310.6,26.6,897.2,26.53333333,26.05,177.1,24.6,565.5,24.9,2878,250591,-75.801,-1.985,326.15,216.19,208.83,25.31,24.75,1,75.6126,"Napo moist forests","Tropical Moist Forest",650,243,205,168,1266
"40","NT0143",136.76985,0.59304,415.5,27.4,1138.1,27.23333333,26.75,115.7,25.6,376.7,25.8,2875.2,200932,-67.162,1.981,189.44,321.76,145.2,25.43,26.47,1,72.6474,"Negro-Branco moist forests","Tropical Moist Forest",486,213,127,70,896
"41","NT0144",111.306195,0.704235,340.1,27.9,911.55,27.73333333,27,5.15,26.3,16.9,26.45,1559,10011,-42.083,-3.042,51.42,172.28,45.68,27.26,26.87,3,20.0151,"Northeastern Brazil restingas","Tropical Moist Forest",276,119,13,15,423
"42","NT0145",65.75331,0.29652,323.7,19.9,850.7,19.76666667,19.3,73,19,266,19.03333333,2421,80806,-77.539,2.5,1284.31,199.97,163.17,20.71,20.48,1,1135.6716,"Northwestern Andean montane forests","Tropical Moist Forest",567,248,144,219,1178
