"","code","mad_prec","mad_temp","max_prec","max_temp","max3m_prec","max3m_temp","med_temp","min_prec","min_temp","min3m_prec","min3m_temp","tot_prec","areakm2","long","lat","elev","rain_south","rain_west","temp_south","temp_west","patch_num","mad_elev","ecoregion_name","biome","bird_num","mammal_num","reptile_num","amphibian_num","total_num"
"92","NT0217",25.9455,2.14977,245.7,27.3,686.1,27.13333333,25.6,4,22.6,16.6,22.83333333,1026.6,26050,-104.426,20.118,657.12,217.31,13.93,25.62,20.99,2,435.8844,"Jalisco dry forests","Tropical Deciduous Forest",326,137,123,26,612
"93","NT0218",94.66401,1.33434,306.7,27.95,726.95,27.8,26.775,39.85,25.15,159.45,25.35,1761.75,2310,-77.35,18.25,294.5,163.11,125.84,25.78,23.14,6,109.7124,"Jamaican dry forests","Tropical Deciduous Forest",200,21,31,14,266
"94","NT0219",27.539295,0.81543,109,27.4,285.5,27.13333333,26.575,15.85,25,60.55,25.2,821.6,16870,-69.25,10.795,343,87.28,32.87,26.5,25.04,1,251.3007,"Lara-Falcon dry forests","Tropical Deciduous Forest",334,174,9,10,527
"95","NT0220",92.81076,0.81543,252.8,27,729.6,26.86666667,26.5,53.6,24.8,174.4,24.93333333,1784.7,907,-62.56,12.821,123,217.22,98.44,26.44,24.69,8,105.2646,"Lesser Antillean dry forests","Tropical Deciduous Forest",344,43,56,6,449
"96","NT0221",71.38719,0.44478,239.9,26.7,599.8,26.43333333,25.8,49.8,25.05,200.3,25.31666667,1636.7,19549,-75.1,3.775,1578,92.23,123.42,19.75,19.58,1,308.3808,"Magdalena Valley dry forests","Tropical Deciduous Forest",348,171,51,19,589
"97","NT0222",53.15121,0.66717,171.35,28.35,433.55,28.25,27.8,22.65,26.75,88.75,26.91666667,1114.7,30085,-71.509,9.922,488.21,92.31,44.31,26.28,25.02,1,111.195,"Maracaibo dry forests","Tropical Deciduous Forest",397,191,12,9,609
"98","NT0223",29.911455,0.44478,130.3,16.85,320.5,16.81666667,16.55,25.35,15.3,91.45,15.6,814.1,11322,-78.25,-6.472,2407.56,94.19,21.01,16.47,16.13,1,869.5449,"Maranon dry forests","Tropical Deciduous Forest",156,138,38,4,336
"99","NT0224",113.93781,0.7413,318,27.7,805,27.46666667,26.5,5.7,25.6,29.7,25.73333333,1786.8,5087,-80.167,8.542,255.42,222.77,73.31,25.73,25.03,4,53.3736,"Panamanian dry forests","Tropical Deciduous Forest",273,165,59,22,519
"100","NT0225",75.46434,0.29652,283.1,24.4,772.9,24.23333333,23.85,54.5,23.4,223.5,23.5,2083.1,2261,-77.25,1.75,1837.71,88.08,185.98,18.04,17.7,1,284.6592,"Patia Valley dry forests","Tropical Deciduous Forest",124,155,13,0,292
"101","NT0226",72.20262,1.63086,200.9,25.7,555.7,25.6,24.45,53.2,22.4,163.8,22.6,1386.6,1271,-66.393,18.25,137.86,195.32,100.86,26.33,23.35,2,63.0105,"Puerto Rican dry forests","Tropical Deciduous Forest",181,15,51,6,253
"102","NT0227",16.75338,5.9304,136.05,27.5,290.35,27.13333333,21.775,1.25,16.2,5.35,16.68333333,397.85,3975,-110.028,23.528,326.78,46.39,15.22,26.31,17.9,3,228.3204,"Sierra de la Laguna dry forests","Tropical Deciduous Forest",194,46,45,2,287
"103","NT0228",31.80177,5.04084,232.5,28.2,600.2,27.83333333,24.1,4.1,18,20,18.56666667,849.5,77362,-106.223,24.195,1120.93,173.63,26.57,24.67,16,2,495.1884,"Sinaloan dry forests","Tropical Deciduous Forest",325,149,131,39,644
"104","NT0229",76.72455,0.630105,228.9,28.8,582.8,28.61666667,27.975,19.55,27.1,84.8,27.3,1448.15,24879,-73.917,10.202,535.29,136.85,29.93,25.39,24.69,2,70.4235,"Sinu Valley dry forests","Tropical Deciduous Forest",396,179,132,43,750
"105","NT0230",55.00446,1.11195,278.15,27.9,670.6,27.5,26.25,0.8,24.45,6.2,24.65,1112.15,42282,-97.618,16.829,865.16,208.14,6.3,24.43,22,1,272.0571,"Southern Pacific dry forests","Tropical Deciduous Forest",299,159,218,68,744
"106","NT0232",1.445535,2.335095,93.15,26,146.45,25.85,23.225,0.6,21.15,1.9,21.25,176.5,41100,-80,-5.35,749.93,38.25,2.97,22.82,20.07,1,180.1359,"Tumbes-Piura dry forests","Tropical Deciduous Forest",295,100,60,11,466
"107","NT0233",52.40991,2.59455,278.05,28.4,753.25,27.96666667,26.4,13.65,21.75,51.45,22.26666667,1326.45,6616,-96.55,19.15,439.6,297.19,41.78,25.44,20.3,1,108.9711,"Veracruz dry forests","Tropical Deciduous Forest",295,124,70,26,515
"108","NT0235",67.08765,2.07564,197.9,28.5,504.7,28.26666667,26.7,23,22.7,80.9,23.1,1088.1,49623,-88.957,20.457,43.59,155.59,35.28,27.84,23.18,4,20.7564,"Yucatan dry forests","Tropical Deciduous Forest",295,87,97,19,498
"109","NT0301",59.60052,3.78063,196.8,28,489.2,27.73333333,24.7,31.3,21.1,113.6,21.46666667,1173.7,6870,-76.105,22.638,49.04,128.29,63.18,27.76,22.61,28,2.9652,"Bahamian pine mosaic","Tropical Coniferous Forest",218,8,44,2,272
"110","NT0302",133.767585,1.63086,308.9,27.5,849.25,27.33333333,26.325,58.25,23.15,191.35,23.35,2145.8,2822,-88.515,17.015,155.32,278.66,134.42,26.83,22.96,13,20.7564,"Belizean pine forests","Tropical Coniferous Forest",272,122,39,14,447
"111","NT0303",108.37806,1.26021,273.25,24.1,697.45,23.66666667,22.575,14.9,19.9,58.45,20.31666667,1481.15,110942,-89.267,15.046,806.7,283.91,53.58,23.76,21.42,17,475.9146,"Central American pine-oak forests","Tropical Coniferous Forest",349,203,194,107,853
"112","NT0304",78.42954,2.44629,224,27.5,561.7,27.33333333,25.5,42.7,21.9,151.8,22.33333333,1442.8,6405,-80.054,21.589,132.14,152.25,57.93,27.28,22.8,12,38.5476,"Cuban pine forests","Tropical Coniferous Forest",249,34,83,23,389
"113","NT0305",96.51726,1.55673,289.2,21.3,639.8,21.2,19.95,53.4,17.9,187,18.2,1749.8,11560,-71.75,18.825,479.4,119.7,56.51,25.03,21.86,5,518.91,"Hispaniolan pine forests","Tropical Coniferous Forest",214,20,78,29,341
"114","NT0306",153.89388,0.81543,413.95,27.7,1147.6,27.41666667,26.7,57.3,25.05,222.9,25.16666667,2921.65,18854,-84.068,14.659,85.55,369.92,164.12,27.15,25.41,7,28.1694,"Miskito pine forests","Tropical Coniferous Forest",240,128,0,0,368
"115","NT0307",24.75942,5.48562,154.2,23.4,394.9,23,18.9,8.9,13.6,28.5,14.1,593.7,1061,-110.083,23.5,281.67,42.68,15.13,26.28,18.13,1,215.7183,"Sierra de la Laguna pine-oak forests","Tropical Coniferous Forest",171,45,12,3,231
"116","NT0308",57.59901,1.92738,208.3,20,589.3,19.66666667,17.95,16,14.9,51.6,15.3,1099.2,14298,-96.008,17.202,1112.16,255.05,26.95,22.15,19,8,862.8732,"Sierra Madre de Oaxaca pine-oak forests","Tropical Coniferous Forest",447,176,95,48,766
"117","NT0309",61.82442,1.40847,232.75,22.8,640.5,22.31666667,20.925,3.1,18.8,16.3,19.13333333,1079.1,60973,-99.325,17.551,1012.82,189.24,6.1,24.44,21.82,20,666.4287,"Sierra Madre del Sur pine-oak forests","Tropical Coniferous Forest",330,151,168,69,718
"118","NT0310",40.99389,2.14977,207,19.7,570.6,19.08333333,17.1,6.6,13.15,27.35,13.7,939.8,98111,-101.51,20.248,1709.43,162.99,11.09,20.96,16.1,64,586.3683,"Trans-Mexican Volcanic Belt pine-oak forests","Tropical Coniferous Forest",335,197,171,79,782
"119","NT0402",11.78667,3.92889,146.7,9.7,415.1,9.366666667,5.9,108.7,1.05,334.65,1.55,1475.4,164642,-72.782,-51.912,326.17,53.75,65.11,8.87,2.4,166,271.3158,"Magellanic subpolar forests","Temperate Moist Forest",122,30,4,12,168
"120","NT0404",50.77905,5.11497,245.6,13.1,693.6,12.73333333,8.2,49.8,3.4,181.6,3.833333333,1594.7,248398,-73.12,-42.651,493.36,77.93,178.59,12.57,4.88,66,720.5436,"Valdivian temperate forests","Temperate Moist Forest",177,56,19,38,290
"121","NT0702",127.837185,0.81543,262.65,28,744.75,27.76666667,27,32.6,23.9,113.65,24.66666667,1692.8,125589,-66.019,-13.247,225.35,258.57,42.36,26.8,24.42,30,23.7216,"Beni savanna","Tropical Grasslands",509,212,24,29,774
"122","NT0703",116.23584,2.44629,288.3,21.9,791.7,21.53333333,19.7,16.6,15.5,62.9,16.16666667,1531.3,26313,-43.66,-18.722,876.37,205.08,20.26,23.18,18.47,28,204.5988,"Campos Rupestres montane savanna","Tropical Grasslands",334,180,48,116,678
"123","NT0704",129.468045,0.66717,270.75,26.2,742.75,25.86666667,24.85,6.3,21.8,29.5,22.4,1479.65,1910038,-50.114,-15.179,470.08,228.63,19.41,25.54,22.91,27,249.0768,"Cerrado","Tropical Grasslands",571,254,219,205,1249
"124","NT0707",93.25554,0.59304,364.9,27.7,970.5,27.46666667,26.55,51.3,25.6,189.8,25.7,2105.9,104510,-59.185,3.76,443.7,276.02,125.24,24.5,24.72,13,155.673,"Guianan savanna","Tropical Grasslands",444,225,68,94,831
"125","NT0708",39.029445,5.448555,154.3,27.4,426.75,26.93333333,22.25,35.65,16.8,129.7,17.23333333,1193.75,291590,-58.75,-26.127,93.36,133.78,46.72,26.74,17.17,2,17.7912,"Humid Chaco","Tropical Grasslands",431,143,109,60,743
"126","NT0709",139.58679,0.7413,340.6,28.7,937.5,28.36666667,27.2,10.4,26.1,53.7,26.33333333,1796.3,375787,-67.946,6.697,241.64,299.02,37.56,25.56,26.67,2,65.2344,"Llanos","Tropical Grasslands",414,223,89,40,766
"127","NT0710",13.49166,5.9304,134.3,24.4,377.7,23.76666667,18,87.7,12.5,291.4,12.93333333,1331.7,352496,-54.803,-31.25,144.2,129.42,116.72,23.78,13.38,3,85.9908,"Uruguayan savanna","Tropical Grasslands",350,101,90,118,659
"128","NT0801",33.3585,6.96822,95,24.3,260.6,23.6,16.9,18.4,9.2,59.6,9.9,653,298735,-62.8,-34.435,186.57,90.09,25.36,23.38,10.26,7,137.8818,"Espinal","Grasslands",311,81,81,29,502
"129","NT0802",6.37518,7.56126,30.7,22.8,77.1,22.06666667,14.75,8.5,6.9,28.3,7.666666667,209.7,353640,-67.126,-38.274,522.82,26.95,15.71,21.17,6.86,1,268.3506,"Low Monte","Grasslands",200,52,45,10,307
"130","NT0803",33.28437,6.89409,117.2,23.4,309.4,22.6,16,35.35,9.4,112.15,9.8,899.45,398555,-60.852,-35.242,98.58,99.9,39.5,22.33,9.65,2,63.7518,"Humid Pampas","Grasslands",266,73,63,36,438
"131","NT0805",5.63388,6.74583,26.7,15.1,69.35,14.6,8.65,9.2,1.7,30.5,2.366666667,190.9,576599,-68.462,-45.891,614.74,21.61,33.35,14.05,2.65,19,523.3578,"Patagonian steppe","Grasslands",222,60,67,14,363
"132","NT0902",94.8864,2.74281,212.1,27.4,562.95,27.25,25.1,20.45,21.4,91.25,21.88333333,1335.05,5647,-80.523,21.932,39.34,170.39,37.51,27.58,22.81,14,1.4826,"Cuban wetlands","Flooded Grasslands",250,33,69,16,368
"133","NT0903",55.52337,1.33434,160.3,28.6,367.8,28.53333333,27.45,19.2,25.2,72.1,25.5,976.6,628,-71.321,18.464,469.57,130.27,31.93,25.02,22,3,0,"Enriquillo wetlands","Flooded Grasslands",206,20,57,9,292
"134","NT0904",67.16178,4.74432,235.7,27.6,611.9,27.4,23.75,41.2,17.9,142.8,18.4,1401,20028,-80.864,26.182,0.14,202.91,51.14,28.1,19.75,3,1.4826,"Everglades","Flooded Grasslands",210,38,45,19,312
"135","NT0905",46.590705,1.03782,320.25,26.75,865.05,26.58333333,25.475,0.55,23.9,7.6,24.2,1236.95,2924,-79.55,-2.15,367.2,214.24,40.9,25.12,23.88,1,32.6172,"Guayaquil flooded grasslands","Flooded Grasslands",165,112,10,8,295
"136","NT0906",76.87281,0.66717,218.3,27.5,618.2,27.3,26.8,34.6,25.8,127.4,25.96666667,1455.3,5988,-62.188,9.563,39.06,200.38,78.38,26.64,25.8,7,0,"Orinoco wetlands","Flooded Grasslands",303,176,14,0,493
"137","NT0907",87.76992,1.70499,219.75,28.1,591.7,27.96666667,26.85,21.75,22.5,80.35,23.23333333,1257.5,170501,-57.518,-17.923,159.53,195.36,32.61,27.85,22.96,12,38.5476,"Pantanal","Flooded Grasslands",423,172,101,54,750
"138","NT0908",42.03171,6.486375,146.5,25.75,377.85,24.95,19.075,41.15,12.8,134.85,13.21666667,1062.1,37099,-59.337,-30.674,39.76,123.35,47.98,24.82,13.63,1,16.3086,"Parana flooded savanna","Flooded Grasslands",293,97,54,44,488
"139","NT0909",20.97879,5.55975,163.4,26.4,450.7,25.96666667,20.95,80.7,15.5,277.4,15.96666667,1505.6,26867,-56.667,-28.688,86.46,142.84,98.37,25.89,15.52,1,13.3434,"Southern Cone Mesopotamian savanna","Flooded Grasslands",282,95,43,25,445
"140","NT1001",5.70801,2.74281,45.75,9.4,114.1,9.3,7.5,0.7,2.7,4.05,3.166666667,174.3,254929,-67.804,-21.308,3868.42,49.72,1.75,10.19,3.61,2,404.7498,"Central Andean dry puna","Montane Grasslands",231,49,26,14,320
"141","NT1002",19.384995,2.557485,91.85,10.4,252.95,10.21666667,7.875,2,2.5,11.2,3.1,413.85,211478,-68.072,-20.821,3580.15,85.43,4,11.44,5.25,4,597.4878,"Central Andean puna","Montane Grasslands",526,94,29,26,675
"142","NT1003",63.23289,0.96369,151.05,7.55,411.9,7.466666667,6.975,3.5,4.1,19.6,4.533333333,774.15,116948,-72.623,-13.421,3628.53,127.97,9.96,10.62,8.19,6,401.0433,"Central Andean wet puna","Montane Grasslands",242,94,19,28,383
"143","NT1004",52.70643,0.29652,143.4,11.3,376.3,11.16666667,10.95,18.1,10.2,59.4,10.53333333,874.3,12120,-78.31,-6.952,2627.21,90.75,8.58,15.41,14.84,15,492.9645,"Cordillera Central paramo","Montane Grasslands",152,40,1,14,207
"144","NT1005",26.53854,0.29652,102.2,11,283.1,10.76666667,10.45,8.3,9.9,35.8,10.13333333,719.1,2798,-70.821,8.786,1435.43,135.07,34.76,20.45,19.69,2,449.2278,"Cordillera de Merida paramo","Montane Grasslands",77,51,0,3,131
"145","NT1006",29.80026,0.259455,117.15,10.7,323.45,10.56666667,10.3,31.8,9.7,120.5,9.883333333,935.2,29810,-76.281,2.298,2251.01,122.81,93.33,15.77,15.64,47,446.2626,"Northern Andean paramo","Montane Grasslands",157,77,50,90,374
"146","NT1007",115.6428,0.81543,276.55,11.2,674.4,11.06666667,10.45,34.6,9.05,121.8,9.316666667,1684,1239,-73.5,10.75,1838.5,138.95,36.06,17.65,16.07,1,602.6769,"Santa Marta paramo","Montane Grasslands",56,26,0,4,86
"147","NT1008",9.85929,5.48562,57.1,8.4,142.6,8.033333333,4.2,9.5,-1.3,39.6,-0.766666667,300.6,124779,-69.162,-30.301,3110.42,26.22,30.2,10.88,1.23,3,1017.0636,"Southern Andean steppe","Montane Grasslands",157,56,60,13,286
"148","NT1010",13.973505,7.079415,52.25,21.55,131.1,21.15,15.425,4.1,7.1,18.95,7.95,261.45,116569,-67.503,-28.75,2148.17,63.56,7.5,17.82,6.29,3,1014.0984,"High Monte","Montane Grasslands",203,86,49,11,349
"149","NT1201",6.857025,4.37367,58.3,18.15,138.3,17.75,13.35,0.6,8.6,3.9,9,200.95,148381,-70.964,-31.439,1317.27,7.64,73.24,14.83,6.69,1,627.1398,"Chilean matorral","Mediterranean Forest",131,42,27,6,206
"150","NT1301",55.30098,0.81543,159.4,26.9,453.9,26.66666667,26.25,26.8,24.7,97.4,24.96666667,1158.7,5260,-63.417,10.417,527.92,146.69,55.95,24.27,22.95,3,160.1208,"Araya and Paria xeric scrub","Deserts",339,163,3,1,506
"151","NT1303",0.22239,3.03933,8.7,17.2,13.8,16.9,14.3,0.5,10.8,1.5,11.13333333,22.8,104903,-69.509,-22.333,2046.48,11.47,0.27,15.03,8.82,1,752.4195,"Atacama desert","Deserts",97,22,1,0,120
"152","NT1304",46.33125,1.26021,147.35,27,378.15,26.83333333,25.6,3.3,23.6,14.85,23.86666667,705.15,731320,-40.219,-9.139,398.2,94.11,32.61,26.4,24.13,4,225.3552,"Caatinga","Deserts",320,158,102,51,631
"153","NT1305",78.614865,1.371405,189.15,27.3,530.75,27.2,26.325,45.4,24.7,167.5,24.9,1366.4,3118,-65.364,15.136,102.54,176.23,99.15,26.84,24.38,16,47.4432,"Caribbean shrublands","Deserts",203,18,91,14,326
"154","NT1306",58.11792,2.14977,200.9,27.1,433.9,26.96666667,25.25,35.6,22.6,112.8,22.96666667,1106.2,3256,-79.135,21.481,102.27,154.6,39.16,27.35,22.88,11,32.6172,"Cuban cactus scrub","Deserts",244,32,94,24,394
"155","NT1307",26.16789,2.37216,128.5,25.2,382,25.03333333,22.95,46.3,20.9,163.9,21.16666667,992.6,7978,-91.25,-0.456,291.12,66.43,51.56,24.36,22.15,3,151.2252,"Galapagos Islands scrubland mosaic","Deserts",92,5,27,1,125
"156","NT1308",64.71549,0.96369,199.25,29.2,498.25,29.06666667,27.9,8.7,26.9,35.45,27.03333333,991.35,31477,-73.481,10.673,263.81,102.56,24.77,27.16,25.96,4,68.9409,"Guajira-Barranquilla xeric scrub","Deserts",387,194,51,8,640
"157","NT1309",97.1103,0.51891,201.4,27.6,575.85,27.26666667,26.2,6.05,25.35,29.25,25.61666667,1163.05,68181,-66.179,9.774,361,171.77,28.22,25.1,24.87,1,147.5187,"La Costa xeric shrublands","Deserts",395,191,10,13,609
"158","NT1312",100.038435,1.593795,257.85,26.6,695.75,26.31666667,25.05,25,22.45,83.6,22.78333333,1452.5,2328,-89.75,15,1001,386.9,90.53,22.95,20.27,1,321.7242,"Motagua Valley thornscrub","Deserts",115,138,88,23,364
"159","NT1313",34.32219,1.03782,116.1,28.3,289.5,28.2,27.55,11.3,26.1,48.7,26.23333333,569.7,15909,-70.214,10.536,488.21,79.64,25.83,26.48,24.96,1,385.476,"Paraguana xeric scrub","Deserts",316,178,8,2,504
"160","NT1314",15.5673,5.077905,100.75,27.85,213.9,27.5,22.15,0.8,17.3,4.4,17.81666667,307.1,3867,-110.083,23.817,289.8,41.83,13.79,26.41,17.81,5,123.7971,"San Lucan xeric scrub","Deserts",190,50,48,2,290
"161","NT1315",0.37065,1.85325,31.1,17.7,68.4,17.53333333,15.85,0.4,13.9,1.5,14.13333333,83.3,184213,-75.138,-12.876,2393.09,49.46,0.74,14.26,11.03,2,1731.6768,"Sechura desert","Deserts",168,85,60,7,320
"162","NT1316",54.226095,1.85325,127,18.6,312.55,18.33333333,17.05,5.8,13.25,21.35,13.7,649.75,9862,-97.712,18.788,1943.69,133.51,11.37,19,15.32,2,366.2022,"Tehuacan Valley matorral","Deserts",169,140,67,28,404
"163","NT1401",93.366735,0.59304,330.25,27.7,882.85,27.55,26.9,27.85,26.05,110.05,26.2,2021.5,40894,-57.81,5.36,89.92,191.83,111.19,26.69,26.07,72,0,"Amazon-Orinoco-Southern Caribbean mangroves","Mangroves",113,271,53,14,451
"164","NT1402",70.72002,2.74281,199.3,28,515.7,27.8,25.35,29.4,22.1,112,22.5,1234.4,17859,-76.018,20.919,93.55,154.27,64.22,27.26,22.98,91,1.4826,"Bahamoan-Antillean mangroves","Mangroves",164,45,328,59,596
"165","NT1403",75.31608,1.85325,252.7,28,616.7,27.83333333,26.55,34.5,23.3,125.4,23.6,1437.4,26658,-88.42,16.925,102.64,251.04,113.27,27.15,23.36,52,2.9652,"Mesoamerican Gulf-Caribbean mangroves","Mangroves",106,185,164,52,507
"166","NT1404",22.869105,4.781385,174.15,29.1,425.7,28.86666667,24.625,0.7,20.4,5.45,20.81666667,557.45,8174,-105.685,22.185,202.8,139.41,11.92,27.72,21.08,32,3.7065,"Northern Mesoamerican Pacific mangroves","Mangroves",85,147,0,0,232
"167","NT1405",74.13,0.51891,317.9,26.7,916.3,26.6,25.65,84.9,25.3,323.4,25.36666667,2417.5,13461,-79.27,1.735,153.75,211.82,105.73,26.05,25.14,35,7.413,"South American Pacific mangroves","Mangroves",87,211,88,35,421
"168","NT1406",71.83197,1.85325,265.8,26.6,724.8,26.5,24.75,50.7,22.9,178.1,23.13333333,1826.7,10025,-41.581,-17.274,184.27,140.86,113.92,25.5,21.09,30,7.413,"Southern Atlantic mangroves","Mangroves",75,187,24,61,347
"169","NT1407",162.71535,0.81543,399.2,28.85,964.35,28.5,27.225,1.65,26.25,13.4,26.4,1852.55,7827,-86.515,11.375,206.43,268.12,20.89,26.49,25.84,31,4.4478,"Southern Mesoamerican Pacific mangroves","Mangroves",92,202,128,55,477
