code	areakm2	long	lat	elev	rainS	rainW	tempS	tempW	npolys	mad.elev
NT0176	68946	-98.293	21.946	502.89	163.38	32.89	26.46	18.44	2	155.673
NT0177	4942	-98.25	20.5	1248.88	227.97	44.58	21.76	16.07	1	317.2764
NT0178	33954	-79.5	-0.712	411.35	195.27	122.88	24.46	23.8	1	133.434
NT0179	2014	-61.25	10.75	157	224.53	88.38	26.2	24.98	5	186.0663
NT0180	265072	-50.728	-6.112	207.41	285.57	46.14	25.79	26.01	9	151.2252
NT0181	69482	-88.789	19.221	55.04	165.14	53.06	27.67	23.32	4	57.8214
NT0182	229836	-64.043	4.11	501.02	368.23	92.82	24.07	24.91	8	324.6894
NT0201	68245	-71.617	6.317	684.5	289.2	53.95	23.48	24.39	6	96.369
NT0202	114660	-43.346	-12.183	524.02	137.9	12.86	25.6	23.72	9	120.0906
NT0204	37384	-102.15	20.4	1842.1	164.17	9.96	20.43	15.16	1	163.086
NT0205	62247	-99.888	18.358	1411.98	186.79	9.22	22.37	19.39	6	507.0492
NT0206	72780	-65.818	-18.592	2762.75	118.26	11.51	16.86	11.83	7	808.017
NT0207	7313	-75.95	5.083	1562.2	141.88	123.57	19.94	19.71	1	163.086
NT0209	67773	-87.576	13.679	621.84	265.01	38.2	24.4	22.75	11	164.5686
NT0210	786790	-62.842	-25.198	416.69	113.83	13.49	26.16	16.17	1	143.8122
NT0211	13974	-92.906	16.344	1003	270.36	29.39	23.3	20.38	1	149.0013
NT0212	229767	-60.363	-15.894	286.98	206.26	29.57	26.77	22.79	3	87.4734
NT0213	65745	-79.347	21.504	63.24	158.23	48.55	27.59	23.13	10	48.9258
NT0214	21187	-80.021	-1.625	304.21	156.9	40.34	25.22	24.04	4	114.9015
NT0215	15446	-72.107	18.875	382.75	112.83	56.29	25.68	22.54	7	158.6382
NT0217	26050	-104.426	20.118	657.12	217.31	13.93	25.62	20.99	2	435.8844
NT0218	2310	-77.35	18.25	294.5	163.11	125.84	25.78	23.14	6	109.7124
NT0219	16870	-69.25	10.795	343	87.28	32.87	26.5	25.04	1	251.3007
NT0220	907	-62.56	12.821	123	217.22	98.44	26.44	24.69	8	105.2646
NT0221	19549	-75.1	3.775	1578	92.23	123.42	19.75	19.58	1	308.3808
NT0222	30085	-71.509	9.922	488.21	92.31	44.31	26.28	25.02	1	111.195
NT0223	11322	-78.25	-6.472	2407.56	94.19	21.01	16.47	16.13	1	869.5449
NT0224	5087	-80.167	8.542	255.42	222.77	73.31	25.73	25.03	4	53.3736
NT0225	2261	-77.25	1.75	1837.71	88.08	185.98	18.04	17.7	1	284.6592
NT0226	1271	-66.393	18.25	137.86	195.32	100.86	26.33	23.35	2	63.0105
NT0227	3975	-110.028	23.528	326.78	46.39	15.22	26.31	17.9	3	228.3204
NT0228	77362	-106.223	24.195	1120.93	173.63	26.57	24.67	16	2	495.1884
NT0229	24879	-73.917	10.202	535.29	136.85	29.93	25.39	24.69	2	70.4235
NT0230	42282	-97.618	16.829	865.16	208.14	6.3	24.43	22	1	272.0571
NT0232	41100	-80	-5.35	749.93	38.25	2.97	22.82	20.07	1	180.1359
NT0233	6616	-96.55	19.15	439.6	297.19	41.78	25.44	20.3	1	108.9711
NT0235	49623	-88.957	20.457	43.59	155.59	35.28	27.84	23.18	4	20.7564
NT0301	6870	-76.105	22.638	49.04	128.29	63.18	27.76	22.61	28	2.9652
NT0302	2822	-88.515	17.015	155.32	278.66	134.42	26.83	22.96	13	20.7564
NT0303	110942	-89.267	15.046	806.7	283.91	53.58	23.76	21.42	17	475.9146
NT0304	6405	-80.054	21.589	132.14	152.25	57.93	27.28	22.8	12	38.5476
NT0305	11560	-71.75	18.825	479.4	119.7	56.51	25.03	21.86	5	518.91
NT0306	18854	-84.068	14.659	85.55	369.92	164.12	27.15	25.41	7	28.1694
NT0307	1061	-110.083	23.5	281.67	42.68	15.13	26.28	18.13	1	215.7183
NT0308	14298	-96.008	17.202	1112.16	255.05	26.95	22.15	19	8	862.8732
NT0309	60973	-99.325	17.551	1012.82	189.24	6.1	24.44	21.82	20	666.4287
NT0310	98111	-101.51	20.248	1709.43	162.99	11.09	20.96	16.1	64	586.3683
NT0402	164642	-72.782	-51.912	326.17	53.75	65.11	8.87	2.4	166	271.3158
NT0404	248398	-73.12	-42.651	493.36	77.93	178.59	12.57	4.88	66	720.5436
NT0702	125589	-66.019	-13.247	225.35	258.57	42.36	26.8	24.42	30	23.7216
NT0703	26313	-43.66	-18.722	876.37	205.08	20.26	23.18	18.47	28	204.5988
NT0704	1910038	-50.114	-15.179	470.08	228.63	19.41	25.54	22.91	27	249.0768
NT0707	104510	-59.185	3.76	443.7	276.02	125.24	24.5	24.72	13	155.673
NT0708	291590	-58.75	-26.127	93.36	133.78	46.72	26.74	17.17	2	17.7912
NT0709	375787	-67.946	6.697	241.64	299.02	37.56	25.56	26.67	2	65.2344
NT0710	352496	-54.803	-31.25	144.2	129.42	116.72	23.78	13.38	3	85.9908
NT0801	298735	-62.8	-34.435	186.57	90.09	25.36	23.38	10.26	7	137.8818
NT0802	353640	-67.126	-38.274	522.82	26.95	15.71	21.17	6.86	1	268.3506
NT0803	398555	-60.852	-35.242	98.58	99.9	39.5	22.33	9.65	2	63.7518
NT0805	576599	-68.462	-45.891	614.74	21.61	33.35	14.05	2.65	19	523.3578
NT0902	5647	-80.523	21.932	39.34	170.39	37.51	27.58	22.81	14	1.4826
NT0903	628	-71.321	18.464	469.57	130.27	31.93	25.02	22	3	0
NT0904	20028	-80.864	26.182	0.14	202.91	51.14	28.1	19.75	3	1.4826
NT0905	2924	-79.55	-2.15	367.2	214.24	40.9	25.12	23.88	1	32.6172
NT0906	5988	-62.188	9.563	39.06	200.38	78.38	26.64	25.8	7	0
NT0907	170501	-57.518	-17.923	159.53	195.36	32.61	27.85	22.96	12	38.5476
NT0908	37099	-59.337	-30.674	39.76	123.35	47.98	24.82	13.63	1	16.3086
NT0909	26867	-56.667	-28.688	86.46	142.84	98.37	25.89	15.52	1	13.3434
NT1001	254929	-67.804	-21.308	3868.42	49.72	1.75	10.19	3.61	2	404.7498
NT1002	211478	-68.072	-20.821	3580.15	85.43	4	11.44	5.25	4	597.4878
NT1003	116948	-72.623	-13.421	3628.53	127.97	9.96	10.62	8.19	6	401.0433
NT1004	12120	-78.31	-6.952	2627.21	90.75	8.58	15.41	14.84	15	492.9645
NT1005	2798	-70.821	8.786	1435.43	135.07	34.76	20.45	19.69	2	449.2278
NT1006	29810	-76.281	2.298	2251.01	122.81	93.33	15.77	15.64	47	446.2626
NT1007	1239	-73.5	10.75	1838.5	138.95	36.06	17.65	16.07	1	602.6769
NT1008	124779	-69.162	-30.301	3110.42	26.22	30.2	10.88	1.23	3	1017.0636
NT1010	116569	-67.503	-28.75	2148.17	63.56	7.5	17.82	6.29	3	1014.0984
NT1201	148381	-70.964	-31.439	1317.27	7.64	73.24	14.83	6.69	1	627.1398
NT1301	5260	-63.417	10.417	527.92	146.69	55.95	24.27	22.95	3	160.1208
NT1303	104903	-69.509	-22.333	2046.48	11.47	0.27	15.03	8.82	1	752.4195
NT1304	731320	-40.219	-9.139	398.2	94.11	32.61	26.4	24.13	4	225.3552
NT1305	3118	-65.364	15.136	102.54	176.23	99.15	26.84	24.38	16	47.4432
NT1306	3256	-79.135	21.481	102.27	154.6	39.16	27.35	22.88	11	32.6172
NT1307	7978	-91.25	-0.456	291.12	66.43	51.56	24.36	22.15	3	151.2252
NT1308	31477	-73.481	10.673	263.81	102.56	24.77	27.16	25.96	4	68.9409
