measure,type,code
246.8,max.prec,NT0164
153.9,max.prec,NT0165
288.8,max.prec,NT0166
472.9,max.prec,NT0167
335.1,max.prec,NT0168
460.8,max.prec,NT0169
391.45,max.prec,NT0170
271.3,max.prec,NT0171
328.9,max.prec,NT0173
245.2,max.prec,NT0174
164.6,max.prec,NT0175
267.15,max.prec,NT0176
391.35,max.prec,NT0177
386.35,max.prec,NT0178
308.6,max.prec,NT0179
326.4,max.prec,NT0180
209.85,max.prec,NT0181
426.2,max.prec,NT0182
282.4,max.prec,NT0201
169.1,max.prec,NT0202
186.3,max.prec,NT0204
207.25,max.prec,NT0205
122.95,max.prec,NT0206
213.05,max.prec,NT0207
315.65,max.prec,NT0209
119.55,max.prec,NT0210
273.2,max.prec,NT0211
199.1,max.prec,NT0212
211.15,max.prec,NT0213
257.15,max.prec,NT0214
163.8,max.prec,NT0215
245.7,max.prec,NT0217
306.7,max.prec,NT0218
109,max.prec,NT0219
252.8,max.prec,NT0220
239.9,max.prec,NT0221
171.35,max.prec,NT0222
130.3,max.prec,NT0223
318,max.prec,NT0224
283.1,max.prec,NT0225
200.9,max.prec,NT0226
136.05,max.prec,NT0227
232.5,max.prec,NT0228
228.9,max.prec,NT0229
278.15,max.prec,NT0230
93.15,max.prec,NT0232
278.05,max.prec,NT0233
197.9,max.prec,NT0235
196.8,max.prec,NT0301
308.9,max.prec,NT0302
273.25,max.prec,NT0303
224,max.prec,NT0304
289.2,max.prec,NT0305
413.95,max.prec,NT0306
154.2,max.prec,NT0307
208.3,max.prec,NT0308
232.75,max.prec,NT0309
207,max.prec,NT0310
146.7,max.prec,NT0402
245.6,max.prec,NT0404
262.65,max.prec,NT0702
288.3,max.prec,NT0703
270.75,max.prec,NT0704
364.9,max.prec,NT0707
154.3,max.prec,NT0708
340.6,max.prec,NT0709
134.3,max.prec,NT0710
95,max.prec,NT0801
30.7,max.prec,NT0802
117.2,max.prec,NT0803
26.7,max.prec,NT0805
212.1,max.prec,NT0902
160.3,max.prec,NT0903
235.7,max.prec,NT0904
320.25,max.prec,NT0905
218.3,max.prec,NT0906
219.75,max.prec,NT0907
146.5,max.prec,NT0908
163.4,max.prec,NT0909
45.75,max.prec,NT1001
91.85,max.prec,NT1002
151.05,max.prec,NT1003
143.4,max.prec,NT1004
102.2,max.prec,NT1005
117.15,max.prec,NT1006
276.55,max.prec,NT1007
57.1,max.prec,NT1008
52.25,max.prec,NT1010
58.3,max.prec,NT1201
159.4,max.prec,NT1301
8.7,max.prec,NT1303
147.35,max.prec,NT1304
189.15,max.prec,NT1305
200.9,max.prec,NT1306
128.5,max.prec,NT1307
199.25,max.prec,NT1308
201.4,max.prec,NT1309
257.85,max.prec,NT1312
116.1,max.prec,NT1313
100.75,max.prec,NT1314
31.1,max.prec,NT1315
127,max.prec,NT1316
330.25,max.prec,NT1401
199.3,max.prec,NT1402
252.7,max.prec,NT1403
174.15,max.prec,NT1404
317.9,max.prec,NT1405
265.8,max.prec,NT1406
399.2,max.prec,NT1407
352.2,min3m.prec,NT0101
241.8,min3m.prec,NT0102
178.5,min3m.prec,NT0103
58,min3m.prec,NT0104
137.9,min3m.prec,NT0105
15.4,min3m.prec,NT0106
386.3,min3m.prec,NT0107
198.9,min3m.prec,NT0108
324.8,min3m.prec,NT0109
173.2,min3m.prec,NT0111
67.6,min3m.prec,NT0112
159.5,min3m.prec,NT0113
12.3,min3m.prec,NT0114
687.6,min3m.prec,NT0115
71.6,min3m.prec,NT0117
138.7,min3m.prec,NT0118
19.6,min3m.prec,NT0119
115.85,min3m.prec,NT0120
190.05,min3m.prec,NT0121
347.6,min3m.prec,NT0122
259.8,min3m.prec,NT0124
229.5,min3m.prec,NT0125
155.8,min3m.prec,NT0126
176.4,min3m.prec,NT0127
355.25,min3m.prec,NT0128
240,min3m.prec,NT0129
130.6,min3m.prec,NT0130
233.25,min3m.prec,NT0131
469.4,min3m.prec,NT0132
283.5,min3m.prec,NT0133
388.3,min3m.prec,NT0134
87.45,min3m.prec,NT0135
259.5,min3m.prec,NT0136
131.25,min3m.prec,NT0137
161.6,min3m.prec,NT0138
47.7,min3m.prec,NT0139
34.6,min3m.prec,NT0140
217.6,min3m.prec,NT0141
565.5,min3m.prec,NT0142
