ecoregion_name,biome,code,bird,mam,rep,amp,"birds,mams,reps,amps"
Everglades,FG,NT0904,210,38,45,19,312
Guayaquil flooded grasslands,FG,NT0905,165,112,10,8,295
Orinoco wetlands,FG,NT0906,303,176,14,0,493
Pantanal,FG,NT0907,423,172,101,54,750
Parana flooded savanna,FG,NT0908,293,97,54,44,488
Southern Cone Mesopotamian savanna,FG,NT0909,282,95,43,25,445
Central Andean dry puna,MG,NT1001,231,49,26,14,320
Central Andean puna,MG,NT1002,526,94,29,26,675
Central Andean wet puna,MG,NT1003,242,94,19,28,383
Cordillera Central paramo,MG,NT1004,152,40,1,14,207
Cordillera de Merida paramo,MG,NT1005,77,51,0,3,131
Northern Andean paramo,MG,NT1006,157,77,50,90,374
Santa Marta paramo,MG,NT1007,56,26,0,4,86
Southern Andean steppe,MG,NT1008,157,56,60,13,286
High Monte,MG,NT1010,203,86,49,11,349
Chilean matorral,MeF,NT1201,131,42,27,6,206
Araya and Paria xeric scrub,D,NT1301,339,163,3,1,506
Atacama desert,D,NT1303,97,22,1,0,120
Caatinga,D,NT1304,320,158,102,51,631
Caribbean shrublands,D,NT1305,203,18,91,14,326
Cuban cactus scrub,D,NT1306,244,32,94,24,394
Galapagos Islands scrubland mosaic,D,NT1307,92,5,27,1,125
Guajira-Barranquilla xeric scrub,D,NT1308,387,194,51,8,640
La Costa xeric shrublands,D,NT1309,395,191,10,13,609
Motagua Valley thornscrub,D,NT1312,115,138,88,23,364
Paraguana xeric scrub,D,NT1313,316,178,8,2,504
San Lucan xeric scrub,D,NT1314,190,50,48,2,290
Sechura desert,D,NT1315,168,85,60,7,320
Tehuacan Valley matorral,D,NT1316,169,140,67,28,404
Amazon-Orinoco-Southern Caribbean mangroves,Ma,NT1401,113,271,53,14,451
Bahamoan-Antillean mangroves,Ma,NT1402,164,45,328,59,596
Mesoamerican Gulf-Caribbean mangroves,Ma,NT1403,106,185,164,52,507
Northern Mesoamerican Pacific mangroves,Ma,NT1404,85,147,0,0,232
South American Pacific mangroves,Ma,NT1405,87,211,88,35,421
Southern Atlantic mangroves,Ma,NT1406,75,187,24,61,347
Southern Mesoamerican Pacific mangroves,Ma,NT1407,92,202,128,55,477
